prec = 0.6245482359590794	 q = 1.0	 tau = 2.0	 opt_model=(2.0, 0.60354823250791034, 1622.0, 2597.0)	 p1=(array([False,  True], dtype=bool), array([2120, 2170]))	 p2=(array([False,  True], dtype=bool), array([ 990, 1633]))
prec = 0.6745482359590794	 q = 1.0	 tau = 5.0	 opt_model=(5.0, 0.99844177060329198, 1424.0, 2111.0)	 p1=(array([False,  True], dtype=bool), array([2120, 2170]))	 p2=(array([False,  True], dtype=bool), array([ 707, 1404]))
prec = 0.7245482359590795	 q = 1.0	 tau = 5.0	 opt_model=(5.0, 0.99997949696968957, 1086.0, 1498.0)	 p1=(array([False,  True], dtype=bool), array([2120, 2170]))	 p2=(array([False,  True], dtype=bool), array([ 416, 1096]))
prec = 0.7745482359590795	 q = 1.5	 tau = 5.0	 opt_model=(5.0, 0.99999972920807934, 798.0, 1030.0)	 p1=(array([False,  True], dtype=bool), array([2136, 2154]))	 p2=(array([False,  True], dtype=bool), array([234, 807]))
prec = 0.6245482359590794	 q = 1.0	 tau = 4.0	 opt_model=(4.0, 0.94940683332968689, 1546.0, 2475.0)	 p1=(array([False,  True], dtype=bool), array([4242, 4217]))	 p2=(array([False,  True], dtype=bool), array([1802, 3066]))
prec = 0.6745482359590794	 q = 1.0	 tau = 5.0	 opt_model=(5.0, 0.99936978629168149, 1230.0, 1823.0)	 p1=(array([False,  True], dtype=bool), array([4242, 4217]))	 p2=(array([False,  True], dtype=bool), array([1121, 2515]))
prec = 0.7245482359590795	 q = 2.5	 tau = 5.0	 opt_model=(5.0, 0.99998226970373905, 920.0, 1269.0)	 p1=(array([False,  True], dtype=bool), array([4333, 4126]))	 p2=(array([False,  True], dtype=bool), array([ 665, 1832]))
prec = 0.7745482359590795	 q = 1.0	 tau = 4.0	 opt_model=(4.0, 0.99999990865401756, 654.0, 844.0)	 p1=(array([False,  True], dtype=bool), array([4242, 4217]))	 p2=(array([False,  True], dtype=bool), array([ 339, 1272]))
prec = 0.6245482359590794	 q = 1.0	 tau = 4.0	 opt_model=(4.0, 0.96465146340116503, 1441.0, 2307.0)	 p1=(array([False,  True], dtype=bool), array([6351, 6162]))	 p2=(array([False,  True], dtype=bool), array([2534, 4331]))
prec = 0.6745482359590794	 q = 1.0	 tau = 5.0	 opt_model=(5.0, 0.9989040408574944, 1217.0, 1804.0)	 p1=(array([False,  True], dtype=bool), array([6351, 6162]))	 p2=(array([False,  True], dtype=bool), array([1755, 3653]))
prec = 0.7245482359590795	 q = 2.0	 tau = 5.0	 opt_model=(5.0, 0.99995455002355249, 959.0, 1323.0)	 p1=(array([False,  True], dtype=bool), array([6442, 6071]))	 p2=(array([False,  True], dtype=bool), array([1117, 2815]))
prec = 0.7745482359590795	 q = 2.0	 tau = 5.0	 opt_model=(5.0, 0.99999980968406343, 692.0, 893.0)	 p1=(array([False,  True], dtype=bool), array([6442, 6071]))	 p2=(array([False,  True], dtype=bool), array([ 641, 2096]))
prec = 0.6245482359590794	 q = 1.0	 tau = 2.0	 opt_model=(2.0, 0.64970923868592623, 1379.0, 2207.0)	 p1=(array([False,  True], dtype=bool), array([8428, 7906]))	 p2=(array([False,  True], dtype=bool), array([3383, 5541]))
prec = 0.6745482359590794	 q = 1.0	 tau = 4.0	 opt_model=(4.0, 0.9967538564362356, 1115.0, 1652.0)	 p1=(array([False,  True], dtype=bool), array([8427, 7907]))	 p2=(array([False,  True], dtype=bool), array([2153, 4498]))
prec = 0.7245482359590795	 q = 1.5	 tau = 5.0	 opt_model=(5.0, 0.99998899851130996, 885.0, 1221.0)	 p1=(array([False,  True], dtype=bool), array([8511, 7823]))	 p2=(array([False,  True], dtype=bool), array([1349, 3489]))
prec = 0.7745482359590795	 q = 1.0	 tau = 5.0	 opt_model=(5.0, 0.99999998842360693, 623.0, 804.0)	 p1=(array([False,  True], dtype=bool), array([8427, 7907]))	 p2=(array([False,  True], dtype=bool), array([ 741, 2484]))
